#,代碼,名稱,提及次數
1,2025,千興,448
2,2330,台積電,403
3,1303,南亞,275
4,2408,南亞科,124
5,8150,南茂,112
6,2345,智邦,109
7,1301,台塑,106
8,1605,華新,95
9,6770,力積電,92
10,2317,鴻海,80
11,1326,台化,77
12,2030,彰源,75
13,3661,世芯-KY,72
14,5007,三星,68
15,1727,中華化,64
16,2204,中華,64
17,2449,京元電子,61
18,2344,華邦電,52
19,2395,研華,51
20,2376,技嘉,51
21,2023,燁輝,49
22,6805,富世達,48
23,6477,安集,47
24,3167,大量,47
25,9940,信義,46
26,1319,東陽,46
27,3443,創意,46
28,2603,長榮,46
29,2911,麗嬰房,45
30,1513,中興電,45
31,1717,長興,44
32,3665,貿聯-KY,44
33,3037,欣興,42
34,2392,正崴,40
35,2301,光寶科,40
36,1409,新纖,39
37,2027,大成鋼,39
38,6282,康舒,35
39,3048,益登,35
40,3026,禾伸堂,35
41,3013,晟銘電,34
42,2495,普安,34
43,2308,台達電,33
44,8021,尖點,32
45,2337,旺宏,32
46,9958,世紀鋼,31
47,6139,亞翔,31
48,3450,聯鈞,31
49,2492,華新科,31
50,3543,州巧,30
51,6806,森崴能源,29
52,9802,鈺齊-KY,29
53,6505,台塑化,29
54,1419,新紡,27
55,2383,台光電,26
56,3189,景碩,26
57,9904,寶成,25
58,2850,新產,25
59,2208,台船,25
60,8110,華東,25
61,6533,晶心科,24
62,2406,國碩,24
63,1229,聯華,24
64,1231,聯華食,24
65,2614,東森,24
66,2515,中工,24
67,2428,興勤,24
68,2360,致茂,24
69,2059,川湖,24
70,2543,皇昌,24
71,6691,洋基工程,24
72,1459,聯發,24
73,2454,聯發科,24
74,8033,雷虎,24
75,1519,華城,24
76,2324,仁寶,24
77,2312,金寶,24
78,5871,中租-KY,24
79,8114,振樺電,24
80,2607,榮運,24
81,2618,長榮航,24
82,2645,長榮航太,24
83,3596,智易,24
84,2231,為升,24
85,9910,豐泰,24
86,2489,瑞軒,23
87,3017,奇鋐,23
88,6781,AES-KY,23
89,6531,愛普*,23
90,2413,環科,23
91,6209,今國光,23
92,5519,隆大,23
93,2357,華碩,23
94,6449,鈺邦,23
95,2486,一詮,23
96,2891,中信金,23
97,2881,富邦金,23
98,2327,國巨,23
99,3057,喬鼎,23
100,2420,新巨,23
101,1806,冠軍,23
102,1504,東元,22
103,2404,漢唐,22
104,3413,京鼎,22
105,2481,強茂,22
106,2397,友通,22
107,2615,萬海,22
108,5515,建國,22
109,2211,長榮鋼,22
110,1215,卜蜂,22
111,3005,神基,22
112,4746,台耀,22
113,2371,大同,22
114,2377,微星,22
115,3130,一零四,20
116,1314,中石化,20
117,8422,可寧衛,18
118,4439,冠星-KY,17
119,9914,美利達,15
120,1603,華電,15
121,3715,定穎投控,14
122,3653,健策,14
123,6442,光聖,12
124,6191,精成科,11
125,6184,大豐電,10
126,2892,第一金,10
127,2316,楠梓電,10
128,2206,三陽工業,10
129,4722,國精化,10
130,2421,建準,10
131,3231,緯創,9
132,8467,波力-KY,9
133,6670,復盛應用,9
134,6472,保瑞,9
135,5522,遠雄,9
136,1101,台泥,9
137,6515,穎崴,9
138,2472,立隆電,9
139,6155,鈞寶,8
140,4764,雙鍵,8
141,2201,裕隆,8
142,2441,超豐,8
143,6706,惠特,8
144,8046,南電,8
145,1477,聚陽,7
146,3092,鴻碩,7
147,4142,國光生,7
148,1528,恩德,7
149,6239,力成,7
150,5284,jpp-KY,7
151,1423,利華,7
152,8210,勤誠,6
153,3711,日月光投控,6
154,3060,銘異,6
155,3044,健鼎,6
156,6283,淳安,5
157,3002,歐格,5
158,6128,上福,5
159,1905,華紙,5
160,2605,新興,4
161,1795,美時,3
162,6414,樺漢,3
163,4938,和碩,3
164,2451,創見,2
165,3702,大聯大,2
166,2241,艾姆勒,2
167,3447,展達,2
168,1909,榮成,2
169,2498,宏達電,1
170,1434,福懋,1
171,8131,福懋科,1
172,2382,廣達,1
173,2049,上銀,1
174,3090,日電貿,1
175,3006,晶豪科,1
176,8464,億豐,1
177,1417,嘉裕,1
178,1560,中砂,1
179,2466,冠西電,1
180,3209,全科,1
181,2485,兆赫,1
182,6906,現觀科,1
183,2375,凱美,1
184,1476,儒鴻,1
185,2101,南港,1
186,3376,新日興,1
