#,代碼,名稱,提及次數
1,6222,上揚,78
2,8111,立碁,58
3,5274,信驊,54
4,8038,長園科,47
5,6584,南俊國際,47
6,3609,三一東林,38
7,8299,群聯,34
8,3163,波若威,32
9,5314,世紀,25
10,3324,雙鴻,25
11,6274,台燿,24
12,5287,數字,24
13,8086,宏捷科,24
14,3085,新零售,24
15,4973,廣穎,24
16,3685,元創精密,24
17,3363,上詮,21
18,3191,雲嘉南,19
19,3594,磐儀,17
20,5321,美而快,16
21,6692,進能服,16
22,2949,欣新網,16
23,3624,光頡,16
24,6432,今展科,13
25,4953,緯軟,10
26,4760,勤凱,10
27,8074,鉅橡,10
28,8043,蜜望實,10
29,3580,友威科,9
30,4577,達航科技,9
31,6127,九豪,9
32,4931,新盛力,9
33,3581,博磊,9
34,6265,方土昶,8
35,8176,智捷,8
36,3264,欣銓,8
37,3537,堡達,8
38,3625,西勝,8
39,6510,精測,7
40,6163,華電網,7
41,8440,綠電,7
42,3357,臺慶科,6
43,5340,建榮,6
44,3236,千如,6
45,6173,信昌電,6
46,3551,世禾,6
47,3628,盈正,5
48,5315,光聯,5
49,6203,海韻電,5
50,6411,晶焱,5
51,3293,鈊象,5
52,6208,日揚,4
53,6603,富強鑫,4
54,5328,華容,4
55,5498,凱崴,4
56,8936,國統,3
57,8938,明安,3
58,3218,大學光,2
59,4174,浩鼎,2
60,4745,合富-KY,2
61,8937,合騏,1
62,6284,佳邦,1
63,5425,台半,1
64,6589,台康生技,1
65,6488,環球晶,1
66,3491,昇達科,1
67,8044,網家,1
68,6693,廣閎科,1
69,8390,金益鼎,1
70,8034,榮群,1
71,6596,寬宏藝術,1
